Age,Gender,Program,Course,English,Academic,Attendance,6,7,8,9,10,11,12,13,14,15,16,17,Score Range
21-25,F,PM,Business,50%~59%,60%~70%,S0,Neither,Neither,Strong Agree,Neither,Neither,Agree,Neither,Strong Disagree,Agree,Agree,Neither,Agree,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S0,Disagree,Disagree,Agree,Agree,Agree,Strong Disagree,Disagree,Strong Disagree,Disagree,Neither,Strong Disagree,Disagree,35-45
21-25,M,PM,Business,50%~59%,60%~70%,S0,Neither,Neither,Agree,Neither,Agree,Disagree,Disagree,Disagree,Agree,Neither,Agree,Neither,35-45
18-20,F,Language,Business,60%~70%,60%~70%,S0,Disagree,Disagree,Neither,Neither,Neither,Agree,Neither,Disagree,Disagree,Disagree,Agree,Agree,35-45
21-25,F,FC,Business,>70%,50%~59%,S0,Neither,Agree,Strong Disagree,Agree,Neither,Strong Disagree,Agree,Disagree,Disagree,Neither,Agree,Agree,35-45
18-20,M,FC,Media and Communications,60%~70%,60%~70%,S0,Strong Disagree,Agree,Neither,Strong Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither,Agree,Disagree,35-45
21-25,F,PM,Business,60%~70%,60%~70%,S0,Neither,Agree,Agree,Strong Disagree,Neither,Disagree,Neither,Disagree,Agree,Strong Agree,Neither,Agree,35-45
26-30,M,PM,Business,50%~59%,60%~70%,S1,Disagree,Disagree,Disagree,Strong Agree,Neither,Neither,Agree,Neither,Agree,Strong Agree,Disagree,Agree,25-35
18-20,F,PM,Business,40%~49%,50%~59%,S0,Agree,Neither,Agree,Agree,Neither,Neither,Strong Agree,Strong Disagree,Agree,Agree,Neither,Agree,35-45
21-25,M,IYO,Business,60%~70%,50%~59%,S0,Agree,Agree,Agree,Neither,Neither,Agree,Agree,Disagree,Neither,Agree,Disagree,Neither,35-45
<18,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Strong Agree,Agree,Agree,Neither,Neither,Neither,Neither,Agree,Agree,Agree,Neither,35-45
18-20,F,IYO,Business,60%~70%,60%~70%,S0,Strong Agree,Strong Agree,Neither,Neither,Disagree,Neither,Neither,Disagree,Disagree,Strong Agree,Agree,Disagree,25-35
21-25,M,IYO,Social Sciences and Humanities,50%~59%,40%~49%,S0,Disagree,Disagree,Agree,Neither,Neither,Disagree,Neither,Neither,Disagree,Agree,Neither,Neither,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S2,Agree,Disagree,Agree,Neither,Neither,Agree,Neither,Strong Disagree,Disagree,Neither,Neither,Neither,35-45
18-20,F,FC,Business,60%~70%,60%~70%,S0,Neither,Disagree,Agree,Agree,Agree,Neither,Strong Disagree,Agree,Disagree,Strong Agree,Neither,Neither,25-35
18-20,M,PM,Business,60%~70%,50%~59%,S1,Disagree,Disagree,Neither,Agree,Neither,Disagree,Disagree,Strong Disagree,Strong Agree,Neither,Agree,Disagree,35-45
18-20,M,IYO,Business,60%~70%,60%~70%,S0,Agree,Neither,Agree,Strong Disagree,Neither,Strong Agree,Neither,Strong Disagree,Agree,Strong Agree,Agree,Strong Agree,35-45
21-25,M,PM,Business,50%~59%,50%~59%,S0,Disagree,Agree,Neither,Neither,Neither,Neither,Neither,Strong Disagree,Agree,Strong Agree,Disagree,Neither,35-45
18-20,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strong Disagree,Strong Disagree,Strong Agree,Neither,Agree,Strong Agree,35-45
<18,M,PM,Business,60%~70%,60%~70%,S0,Disagree,Neither,Agree,Neither,Disagree,Disagree,Neither,Strong Disagree,Disagree,Neither,Neither,Disagree,35-45
18-20,F,PM,Business,50%~59%,60%~70%,S0,Neither,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strong Disagree,Neither,Neither,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S0,Neither,Agree,Agree,Agree,Disagree,Neither,Neither,Strong Disagree,Disagree,Neither,Disagree,Neither,35-45
18-20,M,PM,Business,50%~59%,60%~70%,S0,Neither,Agree,Agree,Agree,Disagree,Disagree,Neither,Disagree,Agree,Neither,Neither,Strong Agree,35-45
21-25,F,IYO,Business,60%~70%,>70%,S4,Neither,Agree,Agree,Agree,Agree,Disagree,Agree,Strong Disagree,Neither,Strong Agree,Agree,Neither,35-45
21-25,M,IYO,Business,60%~70%,60%~70%,S0,Agree,Agree,Neither,Agree,Neither,Strong Agree,Neither,Strong Disagree,Disagree,Neither,Agree,Agree,25-35
21-25,F,PM,Business,50%~59%,50%~59%,S4,Disagree,Disagree,Agree,Neither,Strong Agree,Disagree,Neither,Agree,Agree,Strong Agree,Neither,Agree,35-45
21-25,F,PM,Business,60%~70%,>70%,S0,Neither,Neither,Agree,Agree,Agree,Disagree,Neither,Disagree,Strong Disagree,Disagree,Agree,Strong Agree,35-45
21-25,F,PM,Business,60%~70%,>70%,S0,Neither,Agree,Agree,Neither,Strong Disagree,Disagree,Agree,Disagree,Agree,Neither,Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S1,Disagree,Neither,Agree,Agree,Neither,Disagree,Agree,Disagree,Agree,Agree,Strong Disagree,Disagree,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S0,Strong Disagree,Disagree,Agree,Agree,Neither,Strong Disagree,Disagree,Disagree,Agree,Neither,Neither,Disagree,35-45
21-25,F,FC,Business,50%~59%,50%~59%,S0,Agree,Agree,Strong Agree,Neither,Neither,Agree,Strong Disagree,Disagree,Strong Agree,Strong Agree,Strong Agree,Strong Disagree,35-45
21-25,M,PM,Business,50%~59%,50%~59%,S0,Neither,Agree,Agree,Disagree,Disagree,Disagree,Strong Agree,Disagree,Disagree,Neither,Neither,Disagree,35-45
21-25,M,FC,Business,50%~59%,<40%,S0,Disagree,Disagree,Neither,Agree,Strong Agree,Disagree,Neither,Neither,Neither,Agree,Strong Agree,Agree,35-45
21-25,F,FC,Computing,60%~70%,50%~59%,S0,Strong Disagree,Agree,Agree,Agree,Disagree,Neither,Neither,Strong Disagree,Neither,Agree,Neither,Disagree,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S0,Disagree,Strong Disagree,Agree,Agree,Strong Agree,Agree,Disagree,Strong Disagree,Strong Disagree,Agree,Agree,Agree,35-45
21-25,F,PM,Business,50%~59%,50%~59%,S1,Neither,Disagree,Neither,Neither,Strong Agree,Neither,Neither,Disagree,Disagree,Strong Disagree,Strong Disagree,Strong Agree,35-45
21-25,M,PM,Computing,50%~59%,>70%,S0,Neither,Agree,Neither,Agree,Disagree,Neither,Disagree,Strong Disagree,Neither,Neither,Agree,Disagree,35-45
21-25,F,FC,Business,60%~70%,60%~70%,S4,Agree,Neither,Agree,Agree,Disagree,Neither,Neither,Disagree,Agree,Strong Agree,Neither,Disagree,25-35
21-25,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Agree,Neither,Neither,Neither,Neither,Neither,Disagree,Disagree,Agree,Agree,Disagree,35-45
21-25,M,PM,Law/Legal studies,60%~70%,50%~59%,S1,Agree,Neither,Disagree,Neither,Neither,Agree,Agree,Strong Disagree,Neither,Strong Agree,Agree,Strong Agree,25-35
<18,F,IYO,Business,>70%,50%~59%,S2,Neither,Neither,Agree,Strong Disagree,Agree,Agree,Strong Disagree,Neither,Agree,Neither,Agree,Agree,35-45
21-25,F,FC,Business,60%~70%,60%~70%,S0,Disagree,Agree,Agree,Agree,Agree,Strong Disagree,Neither,Disagree,Disagree,Agree,Agree,Neither,35-45
21-25,M,FC,Business,60%~70%,50%~59%,S0,Neither,Agree,Agree,Disagree,Agree,Disagree,Strong Agree,Neither,Neither,Agree,Neither,Agree,35-45
21-25,M,IYO,Business,60%~70%,40%~49%,S0,Neither,Disagree,Agree,Agree,Agree,Neither,Strong Agree,Disagree,Agree,Neither,Disagree,Disagree,35-45
<18,M,FC,Business,60%~70%,60%~70%,S1,Agree,Neither,Agree,Neither,Agree,Neither,Disagree,Strong Disagree,Neither,Neither,Disagree,Strong Disagree,35-45
18-20,M,PM,Business,50%~59%,60%~70%,S0,Neither,Neither,Neither,Agree,Neither,Agree,Neither,Disagree,Agree,Neither,Agree,Disagree,25-35
21-25,M,PM,Business,40%~49%,60%~70%,S0,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neither,Neither,Agree,Neither,Neither,Disagree,35-45
21-25,M,PM,Business,50%~59%,50%~59%,S0,Neither,Agree,Neither,Agree,Neither,Agree,Disagree,Disagree,Strong Agree,Neither,Agree,Disagree,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S2,Neither,Disagree,Agree,Agree,Neither,Strong Agree,Agree,Disagree,Neither,Neither,Neither,Agree,25-35
21-25,M,PM,Media and Communications,50%~59%,60%~70%,S2,Disagree,Strong Disagree,Strong Agree,Strong Disagree,Strong Disagree,Neither,Agree,Strong Disagree,Agree,Agree,Strong Disagree,Disagree,35-45
21-25,M,PM,Social Sciences and Humanities,60%~70%,60%~70%,S0,Neither,Agree,Agree,Agree,Strong Disagree,Neither,Neither,Disagree,Agree,Strong Disagree,Disagree,Disagree,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S3,Agree,Neither,Neither,Agree,Agree,Disagree,Agree,Disagree,Neither,Neither,Agree,Disagree,25-35
18-20,M,PM,Business,60%~70%,50%~59%,S0,Strong Disagree,Agree,Neither,Disagree,Agree,Disagree,Disagree,Strong Disagree,Disagree,Neither,Disagree,Disagree,35-45
21-25,F,IYO,Business,60%~70%,50%~59%,S0,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Strong Disagree,Agree,Strong Agree,Agree,Disagree,35-45
21-25,F,FC,Business,60%~70%,60%~70%,S0,Disagree,Neither,Agree,Agree,Neither,Agree,Agree,Neither,Neither,Agree,Disagree,Agree,35-45
21-25,F,PM,Business,60%~70%,60%~70%,S0,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither,Neither,Disagree,35-45
21-25,F,FC,Business,60%~70%,60%~70%,S1,Agree,Agree,Neither,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neither,Agree,Disagree,35-45
21-25,M,PM,Business,50%~59%,60%~70%,S3,Disagree,Disagree,Neither,Neither,Strong Agree,Agree,Agree,Strong Disagree,Strong Agree,Neither,Agree,Neither,35-45
21-25,M,PM,Business,60%~70%,60%~70%,S0,Disagree,Neither,Agree,Neither,Strong Agree,Disagree,Disagree,Strong Disagree,Strong Agree,Neither,Agree,Disagree,35-45
18-20,M,Language,Business,60%~70%,>70%,S0,Strong Disagree,Neither,Neither,Neither,Neither,Agree,Agree,Strong Disagree,Neither,Agree,Agree,Disagree,35-45
21-25,F,PM,Business,50%~59%,50%~59%,S0,Disagree,Neither,Agree,Strong Agree,Agree,Disagree,Agree,Strong Disagree,Neither,Neither,Agree,Disagree,35-45
18-20,M,PM,Business,60%~70%,50%~59%,S0,Disagree,Neither,Neither,Neither,Neither,Agree,Agree,Strong Disagree,Disagree,Strong Agree,Agree,Neither,25-35
21-25,F,PM,Law/Legal studies,60%~70%,50%~59%,S0,Agree,Agree,Neither,Neither,Neither,Disagree,Agree,Disagree,Agree,Neither,Agree,Neither,35-45
31-35,M,PM,Business,40%~49%,60%~70%,S0,Disagree,Agree,Neither,Neither,Disagree,Agree,Agree,Neither,Disagree,Neither,Neither,Agree,35-45
21-25,M,FC,Business,60%~70%,60%~70%,S0,Agree,Neither,Agree,Agree,Agree,Neither,Neither,Neither,Agree,Agree,Neither,Disagree,35-45
21-25,M,PM,Business,40%~49%,>70%,S0,Disagree,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Neither,Strong Disagree,Agree,35-45
18-20,F,PM,Business,>70%,60%~70%,S1,Disagree,Agree,Agree,Neither,Disagree,Agree,Agree,Strong Disagree,Agree,Strong Agree,Agree,Agree,35-45
18-20,F,PM,Computing,60%~70%,50%~59%,S0,Strong Agree,Strong Disagree,Agree,Agree,Agree,Neither,Disagree,Strong Disagree,Neither,Agree,Neither,Agree,35-45
18-20,M,IYO,Business,60%~70%,60%~70%,S0,Disagree,Agree,Neither,Neither,Agree,Disagree,Neither,Strong Disagree,Strong Agree,Neither,Agree,Agree,35-45
21-25,F,IYO,Business,40%~49%,60%~70%,S3,Strong Disagree,Disagree,Agree,Strong Disagree,Agree,Neither,Agree,Strong Disagree,Strong Disagree,Agree,Agree,Neither,35-45
18-20,F,PM,Business,60%~70%,50%~59%,S3,Strong Agree,Agree,Agree,Neither,Disagree,Disagree,Agree,Strong Disagree,Neither,Agree,Neither,Disagree,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S1,Strong Agree,Neither,Agree,Agree,Disagree,Neither,Neither,Disagree,Disagree,Strong Agree,Strong Agree,Agree,25-35
18-20,M,PM,Business,50%~59%,60%~70%,S0,Neither,Agree,Strong Agree,Agree,Agree,Neither,Agree,Disagree,Neither,Neither,Neither,Agree,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S0,Agree,Agree,Agree,Neither,Agree,Agree,Neither,Disagree,Agree,Disagree,Agree,Agree,35-45
21-25,F,IYO,Business,>70%,50%~59%,S0,Strong Agree,Strong Disagree,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Strong Agree,Agree,Strong Disagree,25-35
21-25,F,IYO,Business,50%~59%,50%~59%,S1,Agree,Neither,Agree,Neither,Neither,Neither,Disagree,Disagree,Agree,Agree,Agree,Disagree,35-45
21-25,M,FC,Business,>70%,50%~59%,S1,Neither,Agree,Agree,Agree,Disagree,Disagree,Neither,Disagree,Agree,Neither,Disagree,Neither,35-45
18-20,M,IYO,Law/Legal studies,60%~70%,50%~59%,S0,Strong Agree,Disagree,Agree,Disagree,Disagree,Neither,Neither,Agree,Disagree,Neither,Agree,Disagree,25-35
21-25,M,PM,Computing,60%~70%,50%~59%,S0,Strong Agree,Agree,Strong Disagree,Disagree,Disagree,Disagree,Neither,Agree,Disagree,Neither,Neither,Strong Agree,25-35
21-25,F,PM,Business,60%~70%,50%~59%,S0,Disagree,Disagree,Neither,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strong Disagree,Strong Agree,35-45
18-20,M,IYO,Business,50%~59%,50%~59%,S1,Disagree,Agree,Disagree,Neither,Neither,Neither,Neither,Strong Agree,Neither,Neither,Neither,Disagree,25-35
21-25,F,FC,Business,50%~59%,60%~70%,S0,Neither,Neither,Agree,Agree,Agree,Disagree,Neither,Strong Disagree,Strong Agree,Agree,Neither,Disagree,35-45
31-35,M,FC,Business,60%~70%,40%~49%,S0,Strong Disagree,Agree,Strong Agree,Agree,Agree,Neither,Neither,Neither,Disagree,Agree,Agree,Neither,35-45
21-25,F,FC,Business,50%~59%,60%~70%,S3,Disagree,Disagree,Agree,Strong Agree,Neither,Agree,Disagree,Strong Disagree,Agree,Agree,Disagree,Disagree,35-45
18-20,F,PM,Business,40%~49%,60%~70%,S2,Strong Disagree,Neither,Disagree,Neither,Neither,Neither,Neither,Strong Disagree,Strong Agree,Disagree,Neither,Agree,35-45
21-25,F,FC,Business,60%~70%,60%~70%,S0,Agree,Disagree,Agree,Agree,Agree,Neither,Disagree,Strong Disagree,Agree,Neither,Disagree,Agree,35-45
21-25,F,PM,Business,60%~70%,60%~70%,S3,Neither,Agree,Neither,Agree,Agree,Disagree,Strong Agree,Strong Agree,Agree,Neither,Neither,Agree,35-45
18-20,F,FC,Business,50%~59%,50%~59%,S0,Disagree,Agree,Agree,Strong Agree,Strong Agree,Disagree,Agree,Agree,Agree,Strong Agree,Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,60%~70%,S0,Disagree,Agree,Agree,Agree,Neither,Disagree,Agree,Disagree,Disagree,Neither,Disagree,Neither,35-45
18-20,F,FC,Business,40%~49%,60%~70%,S0,Agree,Agree,Agree,Neither,Agree,Neither,Agree,Strong Disagree,Agree,Agree,Agree,Strong Agree,35-45
26-30,F,PM,Business,50%~59%,50%~59%,S1,Neither,Strong Agree,Strong Disagree,Agree,Disagree,Strong Disagree,Agree,Neither,Strong Agree,Agree,Agree,Neither,35-45
21-25,M,PM,Business,50%~59%,>70%,S1,Neither,Disagree,Strong Agree,Disagree,Agree,Neither,Agree,Disagree,Agree,Strong Agree,Disagree,Disagree,35-45
21-25,F,FC,Business,50%~59%,50%~59%,S3,Disagree,Agree,Disagree,Agree,Agree,Strong Disagree,Neither,Strong Disagree,Agree,Neither,Disagree,Strong Agree,45+
21-25,M,PM,Social Sciences and Humanities,50%~59%,50%~59%,S3,Neither,Agree,Strong Agree,Agree,Neither,Neither,Agree,Disagree,Agree,Agree,Agree,Disagree,35-45
31-35,M,FC,Business,60%~70%,50%~59%,S0,Disagree,Neither,Neither,Agree,Agree,Strong Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,35-45
18-20,M,PM,Business,60%~70%,60%~70%,S3,Disagree,Agree,Neither,Neither,Agree,Strong Disagree,Neither,Neither,Agree,Neither,Disagree,Neither,35-45
21-25,M,PM,Business,60%~70%,60%~70%,S0,Strong Agree,Neither,Neither,Neither,Agree,Neither,Agree,Strong Disagree,Disagree,Strong Agree,Neither,Disagree,25-35
21-25,M,PM,Business,50%~59%,60%~70%,S0,Agree,Strong Disagree,Agree,Neither,Agree,Neither,Strong Agree,Strong Disagree,Neither,Agree,Disagree,Strong Disagree,25-35
21-25,M,PM,Business,50%~59%,60%~70%,S0,Disagree,Neither,Neither,Agree,Neither,Neither,Agree,Strong Disagree,Agree,Agree,Agree,Neither,35-45
21-25,M,FC,Business,60%~70%,60%~70%,S0,Disagree,Neither,Agree,Disagree,Neither,Disagree,Disagree,Neither,Neither,Agree,Agree,Disagree,35-45
31-35,F,FC,Science and engineering,60%~70%,>70%,S1,Agree,Disagree,Strong Disagree,Agree,Disagree,Strong Agree,Agree,Strong Disagree,Disagree,Neither,Agree,Disagree,25-35
18-20,F,IYO,Social Sciences and Humanities,>70%,60%~70%,S0,Agree,Neither,Neither,Agree,Agree,Disagree,Disagree,Strong Disagree,Agree,Strong Disagree,Neither,Neither,35-45
21-25,M,FC,Business,60%~70%,50%~59%,S0,Strong Disagree,Disagree,Agree,Disagree,Agree,Neither,Neither,Strong Disagree,Agree,Strong Agree,Neither,Disagree,35-45
21-25,F,PM,Computing,60%~70%,50%~59%,S0,Neither,Agree,Agree,Agree,Agree,Neither,Neither,Disagree,Agree,Strong Disagree,Agree,Disagree,35-45
18-20,F,PM,Business,>70%,60%~70%,S0,Disagree,Strong Agree,Agree,Disagree,Agree,Disagree,Agree,Neither,Agree,Strong Agree,Disagree,Agree,35-45
18-20,M,PM,Business,60%~70%,50%~59%,S0,Disagree,Neither,Neither,Agree,Neither,Disagree,Agree,Neither,Agree,Neither,Agree,Neither,35-45
21-25,F,PM,Business,60%~70%,50%~59%,S0,Disagree,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Neither,35-45
21-25,F,IYO,Social Sciences and Humanities,50%~59%,40%~49%,S0,Strong Disagree,Neither,Neither,Disagree,Disagree,Agree,Strong Agree,Neither,Disagree,Neither,Disagree,Disagree,25-35
<18,M,PM,Business,50%~59%,50%~59%,S0,Strong Agree,Agree,Agree,Agree,Strong Agree,Agree,Neither,Disagree,Disagree,Neither,Agree,Agree,35-45
18-20,F,PM,Business,60%~70%,<40%,S0,Agree,Strong Agree,Agree,Agree,Disagree,Strong Agree,Neither,Strong Disagree,Disagree,Disagree,Disagree,Agree,35-45
21-25,M,PM,Art and Design,50%~59%,40%~49%,S1,Disagree,Disagree,Neither,Neither,Agree,Strong Disagree,Agree,Strong Disagree,Agree,Agree,Neither,Neither,35-45
21-25,F,FC,Business,60%~70%,40%~49%,S1,Disagree,Neither,Agree,Agree,Agree,Strong Disagree,Neither,Strong Disagree,Agree,Strong Agree,Neither,Neither,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S1,Disagree,Disagree,Agree,Disagree,Neither,Neither,Disagree,Strong Disagree,Disagree,Neither,Disagree,Disagree,35-45
21-25,F,PM,Business,40%~49%,>70%,S0,Neither,Strong Agree,Agree,Agree,Neither,Agree,Neither,Disagree,Agree,Strong Agree,Disagree,Neither,35-45
26-30,F,PM,Business,60%~70%,50%~59%,S2,Agree,Neither,Agree,Agree,Disagree,Neither,Disagree,Neither,Disagree,Agree,Disagree,Neither,25-35
18-20,M,FC,Business,>70%,50%~59%,S2,Strong Agree,Disagree,Agree,Neither,Disagree,Neither,Neither,Strong Disagree,Neither,Neither,Strong Agree,Agree,25-35
21-25,M,PM,Computing,>70%,60%~70%,S2,Neither,Neither,Neither,Neither,Neither,Agree,Neither,Neither,Disagree,Neither,Agree,Neither,25-35
21-25,M,FC,Business,50%~59%,60%~70%,S0,Agree,Agree,Neither,Agree,Neither,Neither,Disagree,Agree,Disagree,Strong Disagree,Strong Agree,Neither,25-35
21-25,M,PM,Business,50%~59%,60%~70%,S3,Strong Agree,Disagree,Strong Agree,Agree,Neither,Neither,Neither,Strong Disagree,Agree,Neither,Agree,Agree,35-45
<18,M,PM,Science and engineering,60%~70%,50%~59%,S2,Strong Agree,Neither,Neither,Disagree,Disagree,Neither,Neither,Strong Disagree,Neither,Agree,Agree,Agree,35-45
21-25,F,PM,Business,60%~70%,>70%,S0,Strong Disagree,Agree,Neither,Neither,Neither,Neither,Agree,Neither,Agree,Neither,Agree,Neither,35-45
21-25,M,PM,Business,50%~59%,60%~70%,S0,Disagree,Neither,Agree,Neither,Neither,Neither,Agree,Disagree,Neither,Agree,Neither,Agree,35-45
21-25,M,PM,Business,50%~59%,60%~70%,S1,Agree,Neither,Agree,Neither,Disagree,Strong Disagree,Agree,Neither,Neither,Strong Disagree,Agree,Neither,35-45
21-25,M,Language,Business,50%~59%,50%~59%,S0,Neither,Neither,Agree,Strong Disagree,Agree,Neither,Disagree,Strong Disagree,Agree,Neither,Agree,Agree,35-45
18-20,M,PM,Business,60%~70%,60%~70%,S0,Agree,Neither,Strong Agree,Agree,Disagree,Strong Disagree,Disagree,Strong Disagree,Strong Agree,Strong Agree,Agree,Neither,35-45
21-25,M,FC,Business,50%~59%,50%~59%,S3,Strong Agree,Agree,Agree,Neither,Neither,Disagree,Agree,Strong Disagree,Agree,Neither,Agree,Disagree,35-45
21-25,M,IYO,Media and Communications,60%~70%,50%~59%,S1,Agree,Disagree,Agree,Agree,Agree,Disagree,Neither,Strong Disagree,Disagree,Agree,Agree,Agree,35-45
21-25,M,PM,Business,60%~70%,>70%,S0,Agree,Neither,Neither,Neither,Disagree,Agree,Disagree,Strong Disagree,Agree,Neither,Strong Disagree,Neither,35-45
21-25,F,PM,Business,50%~59%,60%~70%,S0,Agree,Disagree,Neither,Neither,Disagree,Disagree,Agree,Neither,Disagree,Agree,Agree,Agree,25-35
21-25,F,PM,Business,50%~59%,40%~49%,S0,Disagree,Agree,Agree,Agree,Disagree,Neither,Agree,Disagree,Agree,Agree,Agree,Neither,35-45
18-20,M,FC,Business,50%~59%,>70%,S0,Agree,Agree,Disagree,Neither,Agree,Agree,Neither,Strong Disagree,Disagree,Agree,Agree,Neither,25-35
21-25,M,FC,Business,60%~70%,50%~59%,S0,Disagree,Neither,Strong Agree,Neither,Disagree,Disagree,Neither,Neither,Agree,Agree,Agree,Neither,35-45
21-25,M,PM,Business,60%~70%,50%~59%,S1,Agree,Agree,Agree,Neither,Disagree,Disagree,Neither,Strong Disagree,Neither,Neither,Agree,Neither,35-45
21-25,M,PM,Business,>70%,50%~59%,S0,Agree,Disagree,Agree,Strong Agree,Neither,Strong Agree,Neither,Strong Disagree,Disagree,Disagree,Neither,Neither,25-35
21-25,F,FC,Business,50%~59%,50%~59%,S0,Neither,Agree,Agree,Agree,Agree,Agree,Neither,Disagree,Strong Disagree,Neither,Agree,Strong Agree,35-45
21-25,M,FC,Business,50%~59%,50%~59%,S0,Neither,Agree,Agree,Neither,Agree,Agree,Neither,Strong Disagree,Disagree,Disagree,Neither,Agree,35-45
>36,F,PM,Business,60%~70%,>70%,S0,Agree,Neither,Agree,Agree,Agree,Disagree,Neither,Strong Agree,Agree,Agree,Disagree,Agree,35-45
31-35,M,FC,Business,60%~70%,>70%,S0,Disagree,Agree,Disagree,Neither,Neither,Neither,Disagree,Strong Disagree,Disagree,Disagree,Agree,Disagree,35-45
21-25,M,PM,Business,40%~49%,50%~59%,S1,Disagree,Disagree,Agree,Disagree,Neither,Disagree,Disagree,Neither,Neither,Neither,Disagree,Disagree,35-45
21-25,F,FC,Business,60%~70%,>70%,S0,Disagree,Agree,Neither,Disagree,Disagree,Strong Disagree,Neither,Disagree,Disagree,Agree,Disagree,Agree,35-45
26-30,F,PM,Business,60%~70%,60%~70%,S3,Disagree,Neither,Strong Disagree,Agree,Disagree,Neither,Neither,Disagree,Neither,Disagree,Agree,Agree,35-45
18-20,M,PM,Business,50%~59%,50%~59%,S0,Strong Agree,Agree,Neither,Neither,Disagree,Disagree,Disagree,Disagree,Disagree,Strong Agree,Agree,Agree,25-35
21-25,M,PM,Business,60%~70%,50%~59%,S4,Strong Disagree,Agree,Neither,Agree,Neither,Neither,Disagree,Strong Disagree,Disagree,Agree,Agree,Agree,35-45
21-25,F,PM,Computing,60%~70%,40%~49%,S1,Neither,Neither,Strong Agree,Agree,Neither,Disagree,Agree,Strong Disagree,Disagree,Neither,Neither,Disagree,35-45
21-25,F,FC,Business,40%~49%,50%~59%,S0,Disagree,Neither,Agree,Neither,Neither,Disagree,Neither,Disagree,Agree,Disagree,Neither,Disagree,35-45
21-25,M,PM,Business,50%~59%,50%~59%,S1,Disagree,Agree,Neither,Agree,Strong Agree,Disagree,Agree,Neither,Neither,Neither,Agree,Disagree,35-45
18-20,F,PM,Business,60%~70%,50%~59%,S0,Disagree,Disagree,Agree,Neither,Agree,Strong Agree,Disagree,Strong Disagree,Disagree,Agree,Agree,Agree,35-45
21-25,M,FC,Law/Legal studies,50%~59%,60%~70%,S0,Disagree,Agree,Neither,Neither,Disagree,Strong Disagree,Neither,Disagree,Disagree,Agree,Agree,Agree,35-45
21-25,M,PM,Business,50%~59%,50%~59%,S1,Neither,Strong Disagree,Agree,Agree,Neither,Neither,Strong Disagree,Strong Disagree,Disagree,Agree,Strong Agree,Neither,25-35
18-20,M,PM,Business,50%~59%,60%~70%,S1,Neither,Disagree,Agree,Neither,Neither,Neither,Neither,Strong Disagree,Agree,Strong Agree,Neither,Agree,35-45
18-20,F,FC,Computing,60%~70%,60%~70%,S0,Strong Disagree,Strong Disagree,Agree,Agree,Disagree,Strong Disagree,Disagree,Strong Disagree,Agree,Disagree,Neither,Agree,35-45
18-20,F,FC,Business,50%~59%,50%~59%,S1,Disagree,Neither,Agree,Agree,Disagree,Disagree,Disagree,Strong Disagree,Agree,Neither,Neither,Disagree,35-45
18-20,F,PM,Business,60%~70%,60%~70%,S0,Neither,Strong Disagree,Agree,Neither,Agree,Disagree,Neither,Strong Disagree,Disagree,Strong Agree,Agree,Disagree,25-35
26-30,F,PM,Business,60%~70%,60%~70%,S1,Disagree,Disagree,Agree,Strong Agree,Neither,Agree,Neither,Neither,Disagree,Agree,Strong Disagree,Disagree,25-35
21-25,M,IYO,Business,50%~59%,50%~59%,S0,Disagree,Neither,Agree,Agree,Neither,Disagree,Agree,Disagree,Disagree,Neither,Disagree,Neither,35-45
21-25,M,FC,Business,50%~59%,60%~70%,S0,Disagree,Neither,Agree,Strong Disagree,Agree,Neither,Disagree,Strong Disagree,Agree,Strong Agree,Neither,Agree,35-45
21-25,M,IYO,Business,60%~70%,50%~59%,S4,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neither,Agree,Strong Disagree,Agree,Agree,35-45
18-20,F,FC,Business,60%~70%,50%~59%,S0,Strong Agree,Neither,Agree,Agree,Agree,Strong Agree,Strong Agree,Neither,Disagree,Disagree,Strong Agree,Neither,25-35
